"","Churn","Techie","Phone","Multiple","OnlineBackup","DeviceProtection","StreamingTV","StreamingMovies","Tenure","ContractMonth-to-month","ContractOne year","ContractTwo Year","InternetServiceDSL","InternetServiceFiber Optic","InternetServiceNone","PaymentMethodBank Transfer(automatic)","PaymentMethodCredit Card (automatic)","PaymentMethodElectronic Check","PaymentMethodMailed Check"
"34","No",0,1,0,1,0,1,0,14.17192333,1,0,0,0,0,1,0,0,1,0
"35","No",0,1,0,1,0,1,0,3.86023041,0,0,1,0,0,1,0,0,1,0
"36","No",0,1,1,0,0,1,0,5.827112819,0,1,0,0,1,0,0,0,1,0
"37","No",0,1,0,0,0,1,0,11.96274778,1,0,0,1,0,0,0,0,1,0
"38","No",0,0,0,0,0,1,0,4.525864256,1,0,0,0,1,0,1,0,0,0
"39","Yes",0,0,1,0,1,1,1,15.85002222,1,0,0,1,0,0,0,0,1,0
"40","No",0,1,0,0,1,1,1,16.03360405,1,0,0,0,1,0,0,0,1,0
"41","No",0,1,0,1,0,0,0,2.581692044,0,0,1,0,1,0,1,0,0,0
"42","No",0,1,0,0,0,0,1,18.17247008,0,0,1,0,1,0,0,0,0,1
"43","Yes",0,1,1,1,1,0,1,9.405224809,0,1,0,1,0,0,0,0,0,1
"44","No",0,1,0,0,0,1,1,20.35456039,1,0,0,1,0,0,0,0,1,0
"45","No",1,1,0,0,0,0,1,2.243757398,0,1,0,0,1,0,1,0,0,0
"46","No",0,1,1,0,1,1,0,1.583394702,0,1,0,0,1,0,0,0,0,1
"47","No",0,1,1,1,1,0,0,14.23487852,0,1,0,0,0,1,1,0,0,0
"48","Yes",0,1,1,1,0,0,0,4.135827839,1,0,0,1,0,0,0,0,1,0
"49","Yes",0,0,1,1,0,0,1,3.379756569,1,0,0,0,1,0,0,0,1,0
"50","No",0,1,1,0,0,0,0,8.959047529,0,0,1,0,0,1,0,0,1,0
"51","Yes",1,1,1,0,1,1,1,6.877942744,1,0,0,1,0,0,0,0,0,1
"52","No",0,1,0,0,0,1,0,1.586331702,1,0,0,1,0,0,0,1,0,0
"53","Yes",0,1,0,1,0,1,1,1.473304337,0,0,1,0,1,0,0,0,0,1
"54","No",0,1,1,0,1,0,0,8.134438503,1,0,0,0,1,0,0,0,1,0
"55","No",0,1,0,0,1,0,1,5.548652108,0,0,1,0,0,1,0,1,0,0
"56","Yes",1,1,0,1,0,1,1,7.272649386,1,0,0,0,1,0,0,0,1,0
"57","Yes",1,1,1,0,0,1,1,22.8577804,0,1,0,1,0,0,0,0,1,0
"58","Yes",0,1,0,0,1,0,0,1.407866545,1,0,0,1,0,0,0,1,0,0
"59","Yes",0,1,1,1,0,1,1,12.21754865,1,0,0,0,1,0,0,0,0,1
"60","No",0,1,1,0,0,0,0,8.701581043,0,1,0,1,0,0,0,0,1,0
"61","No",1,1,0,1,1,0,0,4.844060027,1,0,0,0,1,0,1,0,0,0
"62","No",0,0,0,1,0,0,0,2.656915117,1,0,0,0,0,1,0,1,0,0
"63","Yes",0,1,0,0,1,1,1,5.397827503,1,0,0,1,0,0,0,0,1,0
"64","No",0,1,1,1,0,0,1,9.001231999,0,0,1,1,0,0,1,0,0,0
"65","Yes",0,1,0,1,1,1,1,14.12966281,1,0,0,0,0,1,0,0,0,1
"66","Yes",0,1,1,0,0,0,1,2.485229169,1,0,0,1,0,0,1,0,0,0
"67","Yes",0,1,0,0,0,1,1,4.950398978,0,0,1,0,1,0,0,0,1,0
"68","No",0,1,0,1,0,0,0,9.660361769,0,1,0,1,0,0,0,0,0,1
"69","No",0,1,1,1,1,0,0,8.498042024,0,1,0,0,1,0,0,1,0,0
"70","Yes",1,1,1,0,0,0,1,11.16847385,0,1,0,1,0,0,0,1,0,0
"71","No",0,1,0,1,1,1,1,16.8000196,0,0,1,0,1,0,1,0,0,0
"72","No",0,1,0,1,0,0,0,17.6210362,1,0,0,0,1,0,0,0,0,1
"73","Yes",0,1,1,1,0,0,0,3.310281145,1,0,0,0,1,0,0,0,0,1
"74","Yes",0,1,0,0,1,1,1,7.138784756,0,1,0,1,0,0,0,0,1,0
"75","Yes",0,1,1,0,1,1,1,4.221959275,1,0,0,1,0,0,0,0,1,0
"76","Yes",0,1,1,1,0,1,1,10.90397471,0,1,0,0,1,0,0,0,1,0
"77","Yes",0,1,0,0,0,1,1,8.611218573,0,1,0,0,1,0,0,1,0,0
"78","No",1,1,0,0,0,0,1,2.43754565,0,0,1,1,0,0,0,0,1,0
"79","No",0,1,0,1,0,0,0,6.417132666,1,0,0,1,0,0,0,0,0,1
"80","Yes",0,1,0,1,1,0,1,15.22323989,1,0,0,0,1,0,1,0,0,0
"81","Yes",0,1,0,1,1,0,1,5.02568958,1,0,0,0,1,0,0,0,0,1
"82","Yes",1,1,0,0,1,1,0,11.50651216,1,0,0,0,1,0,0,0,1,0
"83","Yes",0,1,1,1,1,1,1,5.505247606,0,0,1,0,0,1,0,1,0,0
"84","No",0,1,1,0,0,1,0,14.16961729,0,0,1,0,1,0,1,0,0,0
"85","No",0,1,1,0,1,0,1,10.27782059,0,0,1,0,1,0,0,0,1,0
"86","Yes",0,0,1,0,0,1,1,16.48065356,0,1,0,0,1,0,0,0,1,0
"87","No",0,1,0,1,0,0,0,1.914386255,0,1,0,0,1,0,0,0,1,0
"88","No",0,1,0,0,1,0,1,14.68216127,1,0,0,0,1,0,0,0,1,0
"89","Yes",0,1,1,0,0,1,1,9.461939857,1,0,0,0,1,0,1,0,0,0
"90","No",0,1,0,0,1,1,0,4.135515169,0,0,1,0,0,1,0,0,0,1
"91","Yes",0,0,0,1,1,1,0,9.493585403,1,0,0,1,0,0,0,0,1,0
"92","No",0,1,0,1,1,1,0,13.82188875,0,1,0,0,0,1,0,0,0,1
"93","Yes",1,1,1,1,1,1,1,3.820262172,0,1,0,0,1,0,0,0,1,0
"94","No",0,1,0,0,1,1,0,5.622660986,1,0,0,0,1,0,0,1,0,0
"95","No",0,1,0,1,0,0,0,6.935335786,1,0,0,1,0,0,1,0,0,0
"96","No",1,1,0,1,0,0,0,5.100566529,0,0,1,1,0,0,0,0,0,1
"97","Yes",0,1,1,1,1,0,1,1.534192133,1,0,0,0,0,1,0,0,0,1
"98","No",0,1,0,0,1,0,0,10.15330548,1,0,0,1,0,0,0,0,1,0
"99","No",0,1,0,0,0,0,1,10.6312597,1,0,0,1,0,0,1,0,0,0
"100","No",0,1,1,0,0,0,1,1.815836226,0,1,0,0,1,0,1,0,0,0
"101","Yes",0,1,1,1,0,0,1,22.76986341,1,0,0,1,0,0,0,0,0,1
"102","Yes",0,1,1,1,0,0,0,2.519975147,1,0,0,1,0,0,0,0,1,0
"103","Yes",0,1,0,0,0,1,1,10.40161068,1,0,0,1,0,0,0,1,0,0
"104","No",1,1,0,0,1,0,1,7.604093453,0,0,1,0,1,0,0,1,0,0
"105","No",0,1,1,1,0,0,1,6.013261132,0,0,1,0,1,0,1,0,0,0
"106","Yes",1,1,1,0,0,0,1,1.894776657,1,0,0,1,0,0,0,0,1,0
"107","Yes",0,1,1,1,1,1,0,14.17620441,1,0,0,0,0,1,0,0,0,1
"108","Yes",0,1,1,1,0,1,0,6.786723844,1,0,0,0,0,1,0,0,1,0
"109","Yes",0,1,1,1,1,1,1,3.605888824,1,0,0,0,1,0,0,1,0,0
"110","No",0,1,1,0,0,0,0,1.084656113,1,0,0,0,1,0,1,0,0,0
"111","No",0,0,1,1,1,1,0,7.931439645,0,0,1,0,1,0,0,0,1,0
"112","No",0,1,0,0,0,1,1,14.08939653,0,0,1,0,1,0,0,1,0,0
"113","No",0,1,0,0,0,0,0,3.113737885,0,1,0,0,0,1,0,0,0,1
"114","No",1,1,1,0,1,0,0,4.985175451,0,0,1,1,0,0,1,0,0,0
"115","Yes",0,1,1,0,0,1,1,15.37990405,1,0,0,0,0,1,0,0,1,0
"116","Yes",0,1,0,1,0,1,0,2.437089876,1,0,0,1,0,0,0,0,0,1
"117","Yes",0,1,1,1,1,0,1,1.504124801,1,0,0,0,1,0,0,0,0,1
"118","Yes",0,1,1,0,0,1,1,2.566196093,1,0,0,0,1,0,1,0,0,0
"119","Yes",0,1,1,1,0,1,0,4.440328327,1,0,0,1,0,0,0,0,0,1
"120","No",0,1,0,0,1,0,1,2.62036784,0,1,0,0,1,0,1,0,0,0
"121","Yes",0,1,1,1,1,0,0,7.110141173,1,0,0,0,0,1,1,0,0,0
"122","Yes",0,1,1,1,1,1,1,3.041138012,0,0,1,0,1,0,1,0,0,0
"123","Yes",0,0,0,1,1,0,1,5.141923371,1,0,0,0,1,0,0,0,1,0
"124","Yes",0,1,0,0,0,1,1,19.17821675,1,0,0,0,1,0,0,1,0,0
"125","Yes",1,1,0,0,0,1,1,4.676474348,1,0,0,1,0,0,1,0,0,0
"126","Yes",1,0,0,0,1,0,1,4.065555679,1,0,0,0,1,0,0,0,1,0
"127","Yes",0,1,1,1,0,1,0,4.241019424,1,0,0,1,0,0,1,0,0,0
"128","No",0,1,0,1,1,0,1,6.90648504,0,0,1,0,1,0,0,0,1,0
"129","No",1,1,1,0,0,0,0,7.243986575,0,0,1,0,1,0,0,0,0,1
"130","Yes",1,1,1,1,1,0,1,5.991017375,1,0,0,0,1,0,0,0,0,1
"131","Yes",1,1,0,1,0,1,1,19.21689293,0,0,1,1,0,0,0,1,0,0
"132","Yes",0,1,1,0,1,1,1,15.92219451,0,1,0,0,1,0,1,0,0,0
"133","No",0,1,1,0,0,0,0,9.75910234,1,0,0,0,0,1,0,0,1,0
"134","Yes",0,1,0,0,0,0,1,8.886453729,1,0,0,1,0,0,0,0,0,1
"135","No",0,1,0,0,0,0,1,23.02862012,1,0,0,0,0,1,1,0,0,0
"136","No",0,1,1,0,1,0,1,16.66441267,0,1,0,1,0,0,0,0,1,0
"137","No",1,1,1,1,0,1,1,13.57977305,0,0,1,0,1,0,0,0,0,1
"138","Yes",0,1,0,1,1,1,0,1.72479919,0,1,0,0,1,0,0,0,0,1
"139","No",0,1,1,0,0,0,0,3.613513424,1,0,0,0,0,1,0,0,1,0
"140","No",0,1,0,0,0,0,1,6.636312277,1,0,0,0,0,1,0,0,0,1
"141","No",0,1,0,0,0,0,1,10.35063785,0,1,0,1,0,0,0,0,1,0
"142","No",0,1,1,0,1,0,0,8.458573247,0,0,1,0,1,0,0,0,1,0
"143","No",0,1,0,0,0,1,0,8.508626757,0,1,0,1,0,0,0,1,0,0
"144","No",0,1,0,1,0,0,0,5.473564746,1,0,0,0,0,1,1,0,0,0
"145","No",0,1,0,0,1,0,0,1.322671871,1,0,0,0,0,1,0,0,1,0
"146","No",0,1,0,0,1,0,1,12.11795763,0,1,0,0,1,0,0,1,0,0
"147","Yes",0,1,1,0,0,0,1,9.539962975,1,0,0,1,0,0,1,0,0,0
"148","No",0,1,1,1,1,0,0,14.08292576,0,0,1,0,1,0,1,0,0,0
"149","No",1,1,0,0,1,0,0,1.754385394,0,0,1,1,0,0,1,0,0,0
"150","No",0,1,0,0,1,0,0,5.711646401,1,0,0,0,1,0,0,0,1,0
"151","No",0,1,0,1,0,1,0,7.603357235,1,0,0,0,1,0,1,0,0,0
"152","Yes",0,1,1,1,0,0,1,6.587201276,1,0,0,0,1,0,0,0,1,0
"153","No",0,1,0,1,0,0,0,3.990895779,1,0,0,0,1,0,1,0,0,0
"154","No",0,1,0,1,1,1,0,9.07068647,0,1,0,0,1,0,0,1,0,0
"155","Yes",0,1,1,1,0,1,1,9.715065141,0,0,1,0,1,0,0,1,0,0
"156","No",0,1,0,1,1,0,0,9.294088005,0,0,1,1,0,0,0,0,0,1
"157","No",0,1,1,0,1,0,0,3.087125795,1,0,0,0,1,0,0,1,0,0
"158","No",0,1,0,1,0,1,0,28.86969715,0,1,0,1,0,0,0,0,1,0
"159","Yes",0,1,0,1,0,0,0,19.70266217,1,0,0,1,0,0,0,0,0,1
"160","No",0,1,1,1,0,0,1,9.44860885,0,1,0,0,1,0,0,0,1,0
"161","No",0,1,0,1,0,1,0,10.26390461,0,1,0,0,1,0,0,0,0,1
"162","No",0,1,0,0,0,0,1,7.48578642,0,1,0,1,0,0,0,0,1,0
"163","No",0,1,0,1,1,0,0,5.179004124,0,1,0,0,0,1,0,0,1,0
"164","No",0,1,0,0,1,1,0,23.956929,1,0,0,0,0,1,0,0,1,0
"165","Yes",0,1,0,0,1,1,0,7.161869147,1,0,0,1,0,0,0,1,0,0
"166","Yes",0,1,1,0,0,1,1,11.38490458,1,0,0,0,1,0,0,1,0,0
"167","No",0,1,0,0,0,0,1,5.028564472,1,0,0,0,1,0,0,0,0,1
"168","No",0,1,1,0,1,0,1,3.414733275,0,0,1,0,1,0,0,0,1,0
"169","No",0,1,1,0,0,0,1,3.11643578,0,0,1,0,1,0,0,0,0,1
"170","Yes",0,1,0,0,0,1,0,2.704019894,1,0,0,0,0,1,0,0,0,1
"171","Yes",0,1,1,1,0,0,1,13.76871228,1,0,0,0,0,1,0,0,1,0
"172","No",0,1,0,0,0,1,0,5.803901847,1,0,0,1,0,0,1,0,0,0
"173","Yes",0,1,0,0,1,0,1,5.295927221,1,0,0,1,0,0,0,0,0,1
"174","Yes",0,1,1,0,0,1,1,9.195415365,1,0,0,0,1,0,0,0,1,0
"175","No",0,1,0,1,1,1,0,3.317348927,0,1,0,1,0,0,0,1,0,0
"176","No",1,0,1,0,0,0,0,4.709035899,0,0,1,0,1,0,0,0,0,1
"177","No",0,1,1,1,0,0,0,11.58317216,1,0,0,0,0,1,1,0,0,0
"178","Yes",0,1,0,0,1,1,1,3.105139512,1,0,0,0,1,0,1,0,0,0
"179","No",1,1,0,1,1,1,1,9.651065829,0,1,0,0,0,1,0,0,0,1
"180","Yes",0,1,1,1,0,1,1,8.730405893,1,0,0,1,0,0,0,1,0,0
"181","Yes",0,1,1,1,0,1,0,5.259033624,0,0,1,0,1,0,0,0,0,1
"182","No",0,1,1,1,0,1,0,1.740841699,1,0,0,0,1,0,0,0,0,1
"183","No",0,1,0,0,1,0,1,10.50397242,0,0,1,0,0,1,0,0,0,1
"184","No",0,0,1,1,0,1,0,15.90065569,1,0,0,0,1,0,1,0,0,0
"185","Yes",0,1,0,1,0,1,1,10.03364243,0,0,1,1,0,0,0,0,0,1
"186","Yes",0,1,0,0,0,1,0,7.380291282,1,0,0,0,0,1,0,0,0,1
"187","Yes",0,1,0,0,1,1,1,16.66213522,0,0,1,0,1,0,0,0,1,0
"188","Yes",0,1,1,1,1,1,1,9.349597147,0,0,1,0,1,0,0,1,0,0
"189","Yes",1,1,0,0,1,0,1,2.625315241,1,0,0,0,0,1,0,0,1,0
"190","No",1,1,0,1,0,1,0,8.840888613,0,1,0,0,1,0,0,1,0,0
"191","No",1,1,1,0,0,0,1,8.137267032,0,0,1,0,1,0,1,0,0,0
"192","Yes",0,1,0,1,0,0,1,3.950587999,1,0,0,1,0,0,0,0,1,0
"193","Yes",1,1,0,0,1,1,0,7.55918608,1,0,0,1,0,0,0,0,1,0
"194","Yes",0,1,1,1,1,0,1,1.692982143,1,0,0,0,1,0,0,0,1,0
"195","No",0,1,0,0,0,1,0,6.069124406,1,0,0,0,1,0,0,0,0,1
"196","Yes",0,0,1,0,0,1,1,4.06047424,1,0,0,0,0,1,0,0,0,1
"197","Yes",1,1,1,1,0,0,0,6.429025787,1,0,0,0,1,0,0,0,1,0
"198","No",0,1,0,0,0,1,0,24.64624542,0,0,1,0,1,0,0,0,1,0
"199","No",0,1,0,0,1,0,1,18.29391747,1,0,0,0,1,0,1,0,0,0
"200","Yes",0,1,0,1,0,0,1,4.303849456,1,0,0,0,1,0,0,0,0,1
"201","No",0,1,0,0,0,1,0,6.339774346,0,0,1,1,0,0,0,0,0,1
"202","No",0,1,1,1,0,0,0,24.71916223,0,0,1,0,1,0,0,0,1,0
"203","Yes",0,1,1,0,0,1,1,3.644232332,1,0,0,0,1,0,0,0,1,0
"204","No",1,1,0,1,1,1,0,4.486607929,0,1,0,0,1,0,0,0,1,0
"205","Yes",0,1,1,0,0,0,0,7.904120653,1,0,0,0,0,1,0,1,0,0
"206","Yes",0,1,1,1,1,1,1,5.898536601,0,1,0,1,0,0,0,0,0,1
"207","No",1,1,0,0,0,0,0,4.929637705,1,0,0,0,0,1,0,0,0,1
"208","No",0,1,0,1,1,0,1,8.938308825,1,0,0,0,1,0,0,0,0,1
"209","Yes",1,1,0,0,0,0,1,16.64037206,1,0,0,1,0,0,0,0,0,1
"210","No",1,1,0,1,1,1,0,3.523994671,0,0,1,0,1,0,0,0,0,1
"211","No",0,1,0,0,1,0,0,2.871446409,0,1,0,0,0,1,0,0,0,1
"212","No",1,0,0,0,1,1,0,7.172070851,0,1,0,1,0,0,1,0,0,0
"213","No",0,1,1,0,1,0,0,16.99923183,0,1,0,0,1,0,0,0,0,1
"214","No",1,1,1,0,1,1,0,8.960033031,0,1,0,0,1,0,0,0,0,1
"215","No",0,1,1,1,0,0,1,15.40849216,0,1,0,0,1,0,0,0,0,1
"216","Yes",0,1,0,0,1,0,1,4.611940238,1,0,0,0,1,0,0,1,0,0
"217","No",0,1,0,1,1,0,0,1.214622014,0,1,0,0,0,1,0,0,0,1
"218","No",0,1,1,0,0,1,0,1.845003373,0,1,0,0,0,1,1,0,0,0
"219","No",0,1,0,1,1,0,1,9.343807204,1,0,0,0,0,1,0,0,1,0
"220","Yes",0,1,1,0,1,1,1,1.583634587,1,0,0,0,1,0,0,1,0,0
"221","No",0,1,0,1,1,1,0,7.077999389,0,0,1,1,0,0,0,0,1,0
"222","Yes",0,1,0,1,0,1,1,9.932932319,1,0,0,1,0,0,1,0,0,0
"223","No",0,1,0,1,0,1,0,26.16514147,0,1,0,1,0,0,0,0,1,0
"224","Yes",1,0,0,1,0,1,0,6.133827574,1,0,0,0,1,0,1,0,0,0
"225","Yes",0,1,1,0,1,1,1,3.61323465,1,0,0,0,1,0,0,0,1,0
"226","No",0,1,1,0,0,0,0,9.045537332,0,0,1,0,1,0,0,1,0,0
"227","No",0,1,0,1,1,1,0,13.66699636,1,0,0,0,1,0,0,0,1,0
"228","No",1,1,0,1,0,0,0,6.691537735,0,1,0,0,1,0,0,0,1,0
"229","No",0,1,0,1,1,1,0,19.25835701,0,1,0,1,0,0,0,1,0,0
"230","No",0,1,0,0,0,0,0,13.3451101,1,0,0,1,0,0,0,0,0,1
"231","No",0,1,0,0,1,0,0,9.028422616,0,1,0,0,0,1,0,0,1,0
"232","No",0,1,1,1,0,1,0,3.106980528,0,0,1,0,1,0,1,0,0,0
"233","No",0,1,0,1,0,1,0,12.40889924,0,0,1,1,0,0,0,1,0,0
"234","No",1,1,0,0,0,0,1,7.60247544,0,1,0,0,1,0,1,0,0,0
"235","No",1,1,1,0,1,1,0,10.08463748,0,1,0,0,1,0,0,0,0,1
"236","Yes",0,1,1,0,0,0,1,12.09641389,1,0,0,0,0,1,0,0,1,0
"237","Yes",0,1,1,0,1,1,1,6.862244054,0,1,0,0,1,0,0,0,1,0
"238","No",0,1,1,0,0,0,1,4.997365436,0,0,1,1,0,0,0,1,0,0
"239","No",0,1,1,1,1,0,1,11.96148946,1,0,0,0,1,0,0,0,0,1
"240","Yes",0,1,0,1,1,1,0,15.56696462,1,0,0,1,0,0,0,1,0,0
"241","No",0,1,1,1,0,1,0,8.000279417,0,0,1,1,0,0,0,0,1,0
"242","Yes",0,1,1,0,1,1,1,8.550692097,1,0,0,1,0,0,0,0,0,1
"243","No",0,1,1,1,1,1,0,17.63783701,0,1,0,0,0,1,1,0,0,0
"244","No",0,1,1,0,1,0,0,14.06970055,0,0,1,0,0,1,0,0,0,1
"245","Yes",0,1,0,1,1,1,0,8.16762508,1,0,0,0,0,1,0,0,1,0
"246","No",0,1,0,0,1,1,1,2.704950495,0,1,0,0,0,1,1,0,0,0
"247","Yes",0,1,1,1,0,0,1,6.958063425,1,0,0,1,0,0,0,0,1,0
"248","Yes",0,1,0,1,1,0,0,2.447985699,1,0,0,0,1,0,0,0,1,0
"249","No",0,1,0,1,1,1,0,4.269258862,1,0,0,0,1,0,0,0,1,0
"250","No",1,1,0,1,0,0,1,8.343625652,1,0,0,1,0,0,0,1,0,0
"251","No",0,1,0,1,0,0,0,4.397705634,1,0,0,0,1,0,0,0,1,0
"252","Yes",1,0,0,1,1,0,1,21.16641251,1,0,0,0,1,0,0,1,0,0
"253","No",0,1,0,0,1,0,1,4.633545041,0,0,1,0,0,1,1,0,0,0
"254","Yes",0,1,1,1,0,1,1,2.456217972,1,0,0,0,1,0,0,0,0,1
"255","Yes",0,1,1,1,1,0,1,3.955928538,1,0,0,1,0,0,1,0,0,0
"256","Yes",0,1,0,0,0,0,1,16.53244292,1,0,0,0,1,0,0,0,1,0
"257","Yes",0,1,1,0,0,1,1,7.195810535,0,0,1,1,0,0,0,0,0,1
"258","Yes",1,1,1,0,0,1,1,10.46190099,1,0,0,1,0,0,1,0,0,0
"259","Yes",0,1,0,0,1,0,1,3.135848347,1,0,0,0,0,1,0,0,1,0
"260","No",0,1,0,1,0,0,0,2.62860278,1,0,0,0,0,1,0,0,1,0
"261","Yes",0,1,0,0,1,1,1,7.677039536,1,0,0,0,1,0,0,0,0,1
"262","No",0,0,0,1,1,0,0,4.891651665,0,0,1,0,0,1,0,0,0,1
"263","No",0,0,0,0,1,1,1,12.48678964,0,1,0,0,0,1,0,1,0,0
"264","Yes",0,1,0,0,0,0,1,17.88183906,1,0,0,0,0,1,0,0,1,0
"265","No",0,1,0,1,0,1,0,17.12047934,0,1,0,1,0,0,0,1,0,0
"266","Yes",0,1,1,0,1,1,0,4.32321356,1,0,0,0,1,0,1,0,0,0
"267","No",0,1,1,0,1,1,0,4.556801333,1,0,0,0,0,1,0,0,0,1
"268","No",0,1,0,0,0,0,1,1.522691557,0,1,0,1,0,0,0,0,1,0
"269","No",0,1,0,0,1,0,1,9.821119931,0,0,1,1,0,0,1,0,0,0
"270","No",0,1,0,0,1,1,0,4.452382314,0,0,1,1,0,0,0,1,0,0
"271","Yes",0,1,1,0,1,0,0,3.847102787,1,0,0,1,0,0,0,0,1,0
"272","Yes",0,1,1,0,1,0,1,21.13118502,1,0,0,1,0,0,1,0,0,0
"273","No",0,1,0,1,0,1,0,2.354138635,0,1,0,1,0,0,0,0,1,0
"274","Yes",1,1,0,1,1,1,0,5.68109955,1,0,0,0,0,1,0,0,1,0
"275","Yes",0,1,0,1,0,0,1,10.3444125,1,0,0,1,0,0,0,1,0,0
"276","Yes",0,1,0,0,0,0,1,4.672608309,1,0,0,1,0,0,0,1,0,0
"277","Yes",0,1,1,1,1,1,1,10.27733324,1,0,0,1,0,0,1,0,0,0
"278","No",0,0,0,0,0,0,1,16.48377098,0,0,1,1,0,0,0,0,0,1
"279","Yes",0,1,0,0,1,1,0,10.99225739,1,0,0,0,0,1,0,0,1,0
"280","Yes",0,1,1,1,1,0,1,4.843533662,1,0,0,0,0,1,0,1,0,0
"281","Yes",1,1,0,1,1,0,0,14.26615817,1,0,0,1,0,0,1,0,0,0
"282","Yes",0,1,1,1,1,0,1,1.262037303,1,0,0,0,1,0,0,0,1,0
"283","No",0,1,0,0,1,1,1,16.37167434,0,1,0,0,0,1,0,0,1,0
"284","Yes",0,1,0,0,1,1,1,3.797689495,1,0,0,1,0,0,1,0,0,0
"285","Yes",0,1,1,1,1,0,1,7.154371452,1,0,0,0,1,0,0,0,1,0
"286","Yes",0,1,0,1,1,0,1,3.468872554,1,0,0,1,0,0,0,0,1,0
"287","No",0,1,0,1,1,1,0,7.608938235,0,0,1,1,0,0,0,0,1,0
"288","Yes",0,1,1,1,0,1,0,5.497366828,0,0,1,1,0,0,0,1,0,0
"289","Yes",0,1,1,1,1,0,1,13.31283015,1,0,0,0,1,0,0,0,0,1
"290","No",0,1,0,0,0,1,0,2.60003549,1,0,0,0,0,1,1,0,0,0
"291","Yes",0,0,1,0,0,1,1,7.080759052,1,0,0,0,1,0,0,0,1,0
"292","Yes",0,1,1,0,0,1,1,5.68349814,0,0,1,1,0,0,0,1,0,0
"293","No",0,1,0,0,0,1,0,2.101748234,0,1,0,1,0,0,1,0,0,0
"294","Yes",0,1,1,0,1,1,0,2.689103558,0,1,0,1,0,0,0,0,1,0
"295","No",1,1,0,0,0,0,0,2.170567319,0,1,0,0,1,0,0,0,1,0
"296","No",0,1,1,0,1,0,1,15.6930298,0,0,1,0,1,0,0,0,1,0
"297","Yes",1,1,1,0,0,1,1,14.92730216,1,0,0,0,0,1,0,0,1,0
