"","Churn","Techie","Phone","Multiple","OnlineBackup","DeviceProtection","StreamingTV","StreamingMovies","Tenure","ContractMonth-to-month","ContractOne year","ContractTwo Year","InternetServiceDSL","InternetServiceFiber Optic","InternetServiceNone","PaymentMethodBank Transfer(automatic)","PaymentMethodCredit Card (automatic)","PaymentMethodElectronic Check","PaymentMethodMailed Check"
"25","Yes",0,1,1,0,1,0,1,5.770390256,1,0,0,0,0,1,0,1,0,0
"26","Yes",0,1,0,0,0,0,0,4.157658837,1,0,0,1,0,0,1,0,0,0
"27","Yes",0,1,0,0,1,1,1,10.40566091,1,0,0,0,1,0,0,0,0,1
"28","Yes",0,1,0,1,1,1,0,1.392421597,1,0,0,0,0,1,0,0,1,0
"29","Yes",1,1,0,0,1,1,1,1.430386349,0,1,0,1,0,0,1,0,0,0
"30","Yes",0,1,1,1,1,1,1,5.425864884,0,0,1,1,0,0,0,1,0,0
"31","No",0,0,0,1,0,1,1,11.08287797,0,0,1,0,1,0,0,1,0,0
"32","No",0,1,1,1,0,0,0,3.586184954,0,0,1,0,0,1,0,0,1,0
"33","Yes",0,1,0,1,0,1,1,4.727388465,1,0,0,0,1,0,0,0,1,0
"34","Yes",0,1,1,1,0,1,0,20.89923386,1,0,0,1,0,0,0,0,1,0
"35","Yes",0,1,1,0,1,1,1,3.471329958,0,1,0,0,1,0,0,0,0,1
"36","Yes",0,1,1,1,0,0,0,5.478588204,1,0,0,1,0,0,0,0,0,1
"37","Yes",0,1,1,1,1,0,1,3.312991809,1,0,0,0,1,0,0,1,0,0
"38","No",0,1,1,0,1,0,0,7.161561527,0,1,0,1,0,0,0,0,1,0
"39","No",0,1,0,1,0,0,1,9.847563364,0,0,1,0,1,0,0,1,0,0
"40","No",0,1,0,1,1,0,0,16.04202196,0,0,1,0,1,0,0,0,1,0
"41","No",0,1,0,1,1,1,0,9.179779682,1,0,0,0,1,0,0,0,0,1
"42","No",0,1,0,0,0,0,0,3.002844144,1,0,0,1,0,0,0,0,1,0
"43","Yes",0,1,1,0,0,1,1,3.924254455,0,0,1,0,1,0,0,1,0,0
"44","No",0,1,1,0,0,0,1,18.55959629,0,0,1,0,1,0,0,0,1,0
"45","Yes",0,1,1,0,0,1,1,8.798394712,0,0,1,0,1,0,0,1,0,0
"46","Yes",0,1,1,1,1,1,1,10.377366,1,0,0,0,0,1,0,0,1,0
"47","Yes",0,1,0,1,0,0,1,22.25746016,1,0,0,0,1,0,1,0,0,0
"48","Yes",1,1,1,1,1,0,0,9.427146079,1,0,0,0,1,0,0,1,0,0
"49","No",0,1,0,0,0,1,0,7.760290062,0,0,1,0,0,1,1,0,0,0
"50","No",0,1,0,0,0,0,0,11.56938439,1,0,0,0,0,1,0,0,1,0
"51","Yes",0,1,1,0,1,0,1,3.343811019,1,0,0,1,0,0,1,0,0,0
"52","Yes",0,1,0,0,1,1,1,7.338869531,1,0,0,0,0,1,0,1,0,0
"53","No",0,1,0,0,1,1,0,5.486534225,1,0,0,0,1,0,0,0,1,0
"54","Yes",1,1,1,0,0,1,0,1.55278221,0,1,0,0,1,0,0,1,0,0
"55","Yes",0,1,1,0,1,0,0,12.07970325,1,0,0,0,1,0,0,0,0,1
"56","No",0,1,0,0,1,1,0,13.98666226,0,1,0,1,0,0,0,0,0,1
"57","Yes",0,1,0,1,0,0,0,9.563362997,1,0,0,1,0,0,0,0,1,0
"58","No",0,1,0,0,1,0,1,6.732948946,0,0,1,0,0,1,0,0,0,1
"59","Yes",0,1,1,0,0,1,1,15.72071086,0,0,1,0,0,1,0,1,0,0
"60","No",0,1,0,0,1,0,0,7.233605493,0,0,1,0,1,0,0,0,1,0
"61","No",0,1,0,1,0,0,1,2.871017037,0,1,0,1,0,0,0,0,0,1
"62","No",0,1,1,0,1,1,0,2.344875382,1,0,0,0,1,0,0,0,1,0
"63","Yes",0,1,0,1,0,0,1,7.960490246,1,0,0,1,0,0,0,0,0,1
"64","No",0,1,0,0,1,0,0,12.25062113,1,0,0,0,0,1,0,0,0,1
"65","No",1,1,0,0,1,0,1,9.634946079,1,0,0,0,0,1,0,0,1,0
"66","No",0,1,1,1,1,1,0,7.916533093,0,0,1,1,0,0,1,0,0,0
"67","Yes",0,1,1,0,1,1,1,4.471254161,1,0,0,0,1,0,1,0,0,0
"68","Yes",0,1,0,0,0,1,1,10.79028074,1,0,0,0,1,0,1,0,0,0
"69","No",0,1,1,0,0,1,0,12.24190682,1,0,0,1,0,0,0,0,1,0
"70","Yes",1,1,0,0,1,1,1,2.203859443,1,0,0,1,0,0,0,1,0,0
"71","Yes",0,1,0,1,0,1,1,23.92132231,0,1,0,0,0,1,0,0,1,0
"72","Yes",1,1,1,1,0,1,1,3.7311787,0,1,0,1,0,0,1,0,0,0
"73","No",0,1,0,1,0,0,0,7.980015371,0,0,1,0,1,0,1,0,0,0
"74","Yes",0,1,0,1,1,1,1,9.190009376,1,0,0,0,1,0,0,0,1,0
"75","Yes",0,1,1,1,1,0,1,2.378630018,1,0,0,0,1,0,1,0,0,0
"76","Yes",0,1,1,1,1,1,1,5.43464555,0,1,0,1,0,0,0,0,1,0
"77","Yes",0,0,0,0,1,1,1,1.092361222,0,0,1,0,0,1,0,0,1,0
"78","No",0,1,0,1,0,0,1,20.13981517,0,0,1,1,0,0,1,0,0,0
"79","Yes",0,1,1,0,0,1,1,24.64873861,1,0,0,0,1,0,0,0,0,1
"80","No",0,1,0,0,1,0,0,9.677739656,1,0,0,0,1,0,0,1,0,0
"81","Yes",0,1,0,0,0,1,1,9.82814183,0,1,0,1,0,0,0,0,1,0
"82","No",1,1,1,0,1,0,0,7.832238337,1,0,0,0,1,0,0,1,0,0
"83","No",0,1,1,0,0,0,1,19.45250317,0,0,1,0,1,0,0,0,0,1
"84","No",0,1,0,0,1,0,0,14.34766616,1,0,0,1,0,0,0,1,0,0
"85","No",0,1,1,1,1,0,0,2.257358355,0,1,0,0,1,0,1,0,0,0
"86","No",0,1,0,0,0,1,0,2.358129018,0,1,0,0,1,0,0,1,0,0
"87","No",1,1,0,1,0,0,0,4.650578623,1,0,0,0,0,1,1,0,0,0
"88","Yes",0,1,1,0,0,1,1,3.721772616,1,0,0,0,0,1,0,0,1,0
"89","Yes",0,1,0,0,0,1,1,3.76663012,1,0,0,1,0,0,0,0,1,0
"90","No",0,1,0,1,0,0,0,4.151256695,0,1,0,0,1,0,1,0,0,0
"91","Yes",0,1,1,0,1,0,1,2.188918771,1,0,0,0,1,0,0,0,0,1
"92","Yes",0,0,0,1,1,1,1,13.85488928,1,0,0,1,0,0,0,0,0,1
"93","No",0,1,0,0,0,0,1,3.273341151,0,0,1,0,1,0,0,0,1,0
"94","Yes",0,1,1,1,1,0,0,19.75096265,0,0,1,1,0,0,0,0,1,0
"95","No",0,1,1,0,1,0,1,18.38404445,0,0,1,1,0,0,0,0,0,1
"96","Yes",0,1,0,1,1,1,1,4.672610857,1,0,0,0,1,0,0,1,0,0
"97","No",0,1,0,0,1,0,0,6.796299371,1,0,0,0,1,0,0,0,1,0
"98","Yes",0,1,0,1,1,1,0,12.97632235,1,0,0,0,1,0,0,0,0,1
"99","No",0,1,0,1,1,0,0,20.31163945,1,0,0,0,1,0,0,0,0,1
"100","No",0,1,1,0,1,1,0,6.998814446,0,1,0,0,1,0,0,0,1,0
"101","Yes",0,0,0,1,1,1,1,14.46288204,1,0,0,0,0,1,0,1,0,0
"102","No",0,1,1,0,1,1,0,11.13472066,0,1,0,0,1,0,1,0,0,0
"103","Yes",0,1,1,0,1,1,1,2.542296644,1,0,0,0,0,1,0,0,0,1
"104","No",0,1,0,1,0,0,1,17.22596021,0,0,1,0,1,0,0,0,1,0
"105","Yes",0,0,1,1,1,1,0,22.79214163,1,0,0,0,1,0,0,0,0,1
"106","Yes",0,1,1,1,1,1,0,3.823689744,1,0,0,0,1,0,0,0,1,0
"107","Yes",0,1,1,1,0,1,1,10.77094687,1,0,0,1,0,0,0,1,0,0
"108","Yes",0,1,1,1,0,1,0,13.08671185,1,0,0,0,0,1,1,0,0,0
"109","Yes",0,0,1,0,0,0,1,14.76468813,1,0,0,1,0,0,1,0,0,0
"110","Yes",0,1,1,0,1,1,0,9.473091121,1,0,0,0,1,0,0,0,1,0
"111","No",0,1,0,0,0,1,0,5.197446331,1,0,0,0,1,0,1,0,0,0
"112","Yes",0,1,1,0,1,0,1,6.577552683,0,0,1,0,1,0,0,1,0,0
"113","Yes",0,1,0,0,0,0,1,3.174571918,1,0,0,0,1,0,0,0,0,1
"114","No",0,1,0,0,0,0,0,17.88002366,1,0,0,0,1,0,1,0,0,0
"115","Yes",1,1,0,1,0,1,0,13.12190056,1,0,0,0,1,0,0,0,0,1
"116","No",1,1,0,1,0,1,0,23.34617699,1,0,0,0,1,0,0,1,0,0
"117","No",1,1,1,0,1,0,0,6.311709178,0,1,0,1,0,0,0,0,0,1
"118","No",0,1,1,1,1,1,1,12.58298231,0,0,1,0,1,0,0,0,1,0
"119","Yes",0,1,0,0,0,0,1,7.120096363,1,0,0,1,0,0,0,0,1,0
"120","Yes",1,1,0,1,0,1,1,9.344886869,0,0,1,0,0,1,0,0,1,0
"121","No",1,1,1,1,0,0,0,22.37815032,0,0,1,1,0,0,0,1,0,0
"122","Yes",0,1,1,1,1,1,1,4.799514433,0,1,0,0,0,1,0,1,0,0
"123","No",1,1,0,1,0,0,0,10.04672315,1,0,0,0,0,1,0,0,0,1
"124","No",0,1,0,0,1,1,1,8.156552837,1,0,0,0,0,1,1,0,0,0
"125","No",0,1,1,0,1,1,0,7.992791229,0,0,1,0,0,1,0,1,0,0
"126","No",1,1,1,0,0,0,0,7.231032028,0,0,1,1,0,0,1,0,0,0
"127","Yes",0,1,1,0,1,1,1,4.627672042,1,0,0,0,0,1,0,0,1,0
"128","No",0,0,1,1,1,0,0,10.05306287,0,0,1,1,0,0,1,0,0,0
"129","No",0,1,0,0,1,0,0,4.171044392,0,0,1,1,0,0,0,0,1,0
"130","Yes",0,1,1,0,1,1,1,4.568682641,1,0,0,0,0,1,0,0,0,1
"131","Yes",0,1,0,0,1,0,1,6.085030507,1,0,0,1,0,0,0,0,0,1
"132","No",0,1,0,0,0,0,1,2.730250735,1,0,0,0,1,0,0,0,0,1
"133","Yes",0,1,1,1,0,1,0,8.574901206,1,0,0,1,0,0,1,0,0,0
"134","Yes",0,1,1,0,1,1,1,9.743201772,1,0,0,0,1,0,0,0,0,1
"135","No",0,1,0,0,0,0,0,9.482919033,1,0,0,0,1,0,1,0,0,0
"136","No",0,1,1,1,1,0,0,8.447988841,0,0,1,0,1,0,0,0,1,0
"137","No",0,1,1,1,0,0,1,6.365998533,0,1,0,0,1,0,1,0,0,0
"138","No",0,1,1,1,1,1,0,7.251397592,0,1,0,1,0,0,1,0,0,0
"139","Yes",0,0,1,0,1,1,1,14.64011644,0,1,0,0,1,0,0,0,0,1
"140","Yes",1,1,1,0,1,1,0,11.71637124,1,0,0,1,0,0,0,0,1,0
"141","No",0,1,1,0,1,0,0,4.13273503,0,0,1,0,1,0,0,0,1,0
"142","Yes",0,1,1,1,0,1,0,2.887429547,1,0,0,0,1,0,1,0,0,0
"143","No",0,1,0,1,1,0,1,3.303030246,1,0,0,0,1,0,1,0,0,0
"144","No",0,1,0,0,1,0,1,5.15825129,0,1,0,1,0,0,0,1,0,0
"145","Yes",0,1,0,1,0,0,1,3.237560234,1,0,0,0,0,1,0,0,1,0
"146","Yes",0,1,1,1,1,1,0,2.733109234,1,0,0,0,1,0,1,0,0,0
"147","Yes",0,1,0,1,0,1,1,3.180102025,0,0,1,0,0,1,0,0,0,1
"148","No",0,0,0,0,0,0,0,15.85983755,0,0,1,1,0,0,0,0,1,0
"149","Yes",0,1,1,1,0,1,1,11.73724209,1,0,0,0,1,0,1,0,0,0
"150","Yes",0,1,0,1,0,0,1,7.006240694,1,0,0,0,0,1,0,1,0,0
"151","Yes",0,1,1,0,0,0,1,5.562130367,0,1,0,1,0,0,0,1,0,0
"152","No",0,1,0,0,0,1,1,14.53027663,0,1,0,0,1,0,0,1,0,0
"153","No",1,1,0,1,0,1,0,5.905906389,1,0,0,0,1,0,0,0,0,1
"154","Yes",0,1,1,1,0,0,1,3.260462654,1,0,0,1,0,0,0,0,0,1
"155","No",0,1,1,1,1,0,1,18.91276578,0,1,0,0,1,0,0,0,1,0
"156","No",0,1,0,0,0,1,1,14.25617986,0,0,1,0,1,0,0,0,0,1
"157","Yes",1,1,0,0,0,1,1,7.983887266,0,1,0,0,0,1,1,0,0,0
"158","No",1,1,0,1,0,1,0,5.969967132,0,0,1,0,1,0,0,0,1,0
"159","Yes",0,1,1,0,1,1,1,19.95277818,0,0,1,0,1,0,0,0,1,0
"160","No",0,1,0,1,1,0,0,14.85781115,0,1,0,0,0,1,0,1,0,0
"161","Yes",0,1,0,0,1,0,1,2.600063739,1,0,0,0,1,0,0,1,0,0
"162","Yes",0,1,1,0,1,1,0,11.92299244,1,0,0,0,1,0,1,0,0,0
"163","No",0,1,0,1,0,1,0,5.972864167,0,0,1,1,0,0,0,0,0,1
"164","Yes",1,1,0,0,1,1,1,10.87555535,0,0,1,0,0,1,0,0,0,1
"165","Yes",0,1,0,0,1,1,1,16.00330155,0,0,1,0,0,1,0,0,0,1
"166","No",0,1,0,0,0,0,1,12.63074989,0,0,1,0,1,0,0,0,1,0
"167","No",0,1,0,0,0,1,0,8.4944392,1,0,0,0,1,0,0,0,0,1
"168","Yes",0,1,0,0,0,0,1,8.044444101,1,0,0,0,1,0,0,0,1,0
"169","No",0,1,1,0,0,0,0,12.07358377,0,0,1,1,0,0,0,0,1,0
"170","Yes",0,1,0,0,1,1,1,10.21634248,0,1,0,0,0,1,1,0,0,0
"171","Yes",0,1,1,0,1,1,0,15.50354683,1,0,0,1,0,0,0,0,0,1
"172","Yes",0,1,0,0,1,0,1,13.88004531,1,0,0,0,1,0,0,1,0,0
"173","No",0,1,1,0,0,1,0,19.48900163,0,1,0,0,1,0,0,0,1,0
"174","Yes",0,1,1,1,0,1,0,10.01771765,0,0,1,0,1,0,0,0,1,0
"175","No",0,1,0,1,1,0,0,7.34059599,0,1,0,0,1,0,0,0,1,0
"176","Yes",1,1,0,0,1,1,0,12.64742067,1,0,0,0,1,0,0,0,1,0
"177","No",0,1,0,0,0,1,0,8.850426839,0,0,1,1,0,0,0,0,0,1
"178","Yes",0,1,0,0,0,1,1,3.701557118,0,1,0,0,1,0,1,0,0,0
"179","No",0,1,1,1,1,0,1,2.976033785,0,1,0,0,0,1,0,0,0,1
"180","No",0,1,0,1,1,1,0,5.522376826,0,0,1,0,1,0,0,1,0,0
"181","Yes",0,1,1,0,0,1,1,15.64596698,1,0,0,0,1,0,0,0,0,1
"182","Yes",0,1,1,0,0,1,1,23.00764441,1,0,0,0,1,0,0,1,0,0
"183","No",0,1,0,1,1,0,0,17.24924155,0,1,0,1,0,0,0,0,0,1
"184","Yes",0,1,1,0,0,1,1,13.01107597,1,0,0,0,1,0,0,1,0,0
"185","Yes",0,1,1,1,1,0,1,5.104082209,0,0,1,1,0,0,1,0,0,0
"186","No",0,1,1,1,0,0,0,3.521499924,0,0,1,1,0,0,0,0,0,1
"187","No",0,1,0,0,1,0,0,8.08137067,1,0,0,1,0,0,0,0,0,1
"188","Yes",0,1,0,1,1,0,1,1.875430489,1,0,0,0,0,1,0,1,0,0
"189","No",0,1,0,0,0,0,0,5.587484456,0,1,0,0,0,1,1,0,0,0
"190","No",0,1,0,0,1,0,1,7.007695148,0,0,1,1,0,0,0,0,0,1
"191","No",0,1,0,0,0,1,0,1.408375942,0,1,0,1,0,0,1,0,0,0
"192","Yes",0,1,0,0,1,1,1,11.64983735,1,0,0,0,1,0,0,0,1,0
"193","Yes",1,1,0,1,0,0,1,2.964559883,0,0,1,1,0,0,0,0,1,0
"194","No",0,1,0,1,0,1,0,10.25635754,1,0,0,0,1,0,0,0,1,0
"195","Yes",0,1,1,1,0,0,1,3.892407013,1,0,0,0,1,0,1,0,0,0
"196","Yes",0,1,0,0,0,1,1,3.226996711,0,0,1,0,1,0,0,1,0,0
"197","No",0,1,0,1,0,0,1,15.87685513,0,1,0,0,0,1,1,0,0,0
"198","No",0,1,0,0,1,0,1,5.874064017,0,0,1,1,0,0,0,0,0,1
"199","No",0,1,0,0,0,1,0,3.756359276,1,0,0,0,1,0,1,0,0,0
"200","No",0,1,0,1,0,0,0,2.905283283,1,0,0,0,0,1,0,1,0,0
"201","Yes",0,1,1,0,1,1,1,1.474810061,1,0,0,0,1,0,0,0,1,0
"202","Yes",0,1,1,1,1,0,1,18.56165869,1,0,0,0,0,1,0,0,1,0
"203","Yes",0,1,1,1,0,1,1,12.39088509,1,0,0,1,0,0,1,0,0,0
"204","No",0,1,0,1,0,1,0,14.17192333,1,0,0,0,0,1,0,0,1,0
"205","No",0,1,0,1,0,1,0,3.86023041,0,0,1,0,0,1,0,0,1,0
"206","Yes",0,1,1,0,0,1,1,17.72593456,0,1,0,0,1,0,0,0,1,0
"207","No",0,1,0,1,1,1,0,3.043063167,1,0,0,0,1,0,1,0,0,0
"208","No",0,1,1,0,0,1,0,5.827112819,0,1,0,0,1,0,0,0,1,0
"209","Yes",0,1,1,0,1,0,1,4.648958177,1,0,0,0,0,1,0,0,1,0
"210","No",0,1,0,0,0,1,0,11.96274778,1,0,0,1,0,0,0,0,1,0
"211","No",0,0,0,0,0,1,0,4.525864256,1,0,0,0,1,0,1,0,0,0
"212","No",1,1,1,1,0,1,0,8.038308899,0,0,1,0,1,0,0,1,0,0
"213","No",0,1,1,1,0,0,0,1.416592892,0,1,0,1,0,0,1,0,0,0
"214","No",0,1,0,1,1,1,1,19.83504645,1,0,0,0,0,1,0,0,1,0
"215","Yes",0,0,1,0,1,1,1,15.85002222,1,0,0,1,0,0,0,0,1,0
"216","No",0,1,0,0,0,1,0,15.94935291,1,0,0,0,0,1,0,1,0,0
"217","No",0,1,1,0,0,0,0,11.94550648,1,0,0,1,0,0,0,0,1,0
"218","No",0,1,0,0,1,1,1,16.03360405,1,0,0,0,1,0,0,0,1,0
"219","No",0,1,1,0,0,0,0,21.29342532,0,0,1,1,0,0,1,0,0,0
"220","No",1,1,1,1,1,1,0,4.95598008,0,1,0,1,0,0,1,0,0,0
"221","Yes",0,1,1,0,0,0,1,2.73951266,1,0,0,1,0,0,1,0,0,0
"222","Yes",0,0,0,1,1,1,1,4.973046104,0,1,0,0,1,0,0,0,1,0
"223","Yes",0,1,1,0,1,1,1,10.28430068,1,0,0,0,1,0,0,1,0,0
"224","No",0,1,0,1,0,0,0,2.581692044,0,0,1,0,1,0,1,0,0,0
"225","Yes",0,1,1,0,0,0,1,6.945736396,1,0,0,1,0,0,0,1,0,0
"226","No",0,1,1,0,0,0,0,9.999416271,1,0,0,1,0,0,1,0,0,0
"227","Yes",0,1,1,0,0,0,1,6.035737465,1,0,0,0,1,0,1,0,0,0
"228","No",0,0,0,1,1,0,0,9.004964377,1,0,0,1,0,0,0,1,0,0
"229","Yes",0,1,1,0,1,1,1,5.071456681,0,1,0,1,0,0,0,1,0,0
"230","Yes",0,1,1,1,1,0,0,12.02106494,1,0,0,0,1,0,1,0,0,0
"231","Yes",1,1,1,1,1,1,1,5.049303717,1,0,0,1,0,0,1,0,0,0
"232","No",0,1,0,0,0,0,1,18.17247008,0,0,1,0,1,0,0,0,0,1
"233","Yes",0,1,1,0,0,1,1,15.31997698,0,0,1,1,0,0,1,0,0,0
"234","No",0,1,1,0,1,0,0,16.0708543,1,0,0,0,1,0,0,0,0,1
"235","No",0,1,0,0,0,0,1,7.873371451,0,0,1,0,0,1,0,0,1,0
"236","No",1,1,0,1,1,1,0,23.62866494,0,0,1,0,0,1,0,0,1,0
"237","Yes",0,1,1,1,1,1,1,25.8634566,1,0,0,1,0,0,0,0,1,0
"238","Yes",0,1,1,1,1,0,1,9.405224809,0,1,0,1,0,0,0,0,0,1
"239","No",1,1,1,1,0,0,0,12.84490034,1,0,0,0,1,0,0,0,0,1
"240","Yes",1,0,1,0,1,1,0,16.59325254,1,0,0,1,0,0,0,1,0,0
"241","No",0,1,0,0,0,1,1,20.35456039,1,0,0,1,0,0,0,0,1,0
"242","No",0,1,0,1,0,0,1,12.00925702,1,0,0,0,1,0,0,0,1,0
"243","No",0,1,1,0,0,0,0,2.861423443,1,0,0,0,0,1,0,1,0,0
"244","Yes",1,1,1,0,0,1,0,14.20349453,1,0,0,1,0,0,0,0,1,0
"245","Yes",0,1,0,0,0,1,1,4.98152586,1,0,0,0,1,0,0,0,1,0
"246","No",0,1,1,1,1,0,0,23.12150846,1,0,0,0,0,1,0,1,0,0
"247","No",1,1,0,0,0,1,1,6.307178205,0,0,1,1,0,0,0,1,0,0
"248","No",0,1,1,1,0,0,0,12.73622643,0,1,0,0,0,1,1,0,0,0
"249","No",0,1,1,1,0,0,0,12.00466914,0,0,1,0,0,1,0,0,1,0
"250","No",1,1,0,0,0,0,1,2.243757398,0,1,0,0,1,0,1,0,0,0
"251","No",0,1,1,0,1,1,0,1.583394702,0,1,0,0,1,0,0,0,0,1
"252","No",0,1,1,1,1,0,0,14.23487852,0,1,0,0,0,1,1,0,0,0
"253","Yes",0,1,0,1,1,1,1,15.28108311,1,0,0,0,0,1,1,0,0,0
"254","Yes",0,1,1,1,0,0,0,4.135827839,1,0,0,1,0,0,0,0,1,0
"255","Yes",0,0,0,0,1,1,1,9.740709475,1,0,0,0,0,1,0,0,1,0
"256","Yes",0,1,0,0,1,1,1,1.213704886,0,0,1,1,0,0,0,0,1,0
"257","No",0,1,0,1,0,0,0,11.86252419,1,0,0,0,1,0,1,0,0,0
"258","No",0,1,0,1,1,0,0,2.416685985,0,1,0,1,0,0,0,0,1,0
"259","No",1,1,0,1,1,0,0,6.73327535,1,0,0,0,0,1,0,0,1,0
"260","Yes",0,1,1,0,0,1,1,6.549035393,0,0,1,1,0,0,0,1,0,0
"261","Yes",0,1,0,1,1,1,1,10.57197066,1,0,0,0,1,0,1,0,0,0
"262","Yes",0,0,1,1,0,0,1,3.379756569,1,0,0,0,1,0,0,0,1,0
"263","No",0,1,1,0,0,0,0,8.959047529,0,0,1,0,0,1,0,0,1,0
"264","No",0,1,1,0,1,1,0,10.23679934,0,0,1,1,0,0,0,0,1,0
"265","Yes",0,0,0,1,1,1,1,14.96503088,1,0,0,1,0,0,0,0,0,1
"266","Yes",0,1,1,1,1,1,1,23.79323993,0,1,0,0,1,0,0,0,0,1
"267","Yes",0,1,1,1,1,1,1,11.45675389,1,0,0,0,1,0,0,1,0,0
"268","Yes",0,1,0,0,0,1,1,11.04076215,1,0,0,0,0,1,0,0,1,0
"269","Yes",0,0,1,0,0,1,1,7.425503428,1,0,0,1,0,0,0,1,0,0
"270","Yes",0,1,1,1,1,0,1,2.411712843,0,1,0,0,0,1,0,0,0,1
"271","No",0,1,1,0,0,0,1,2.009542213,0,1,0,0,1,0,1,0,0,0
"272","Yes",0,1,0,0,0,1,1,9.068119482,1,0,0,0,0,1,0,0,0,1
"273","Yes",0,1,1,0,0,0,0,1.926789854,1,0,0,0,1,0,0,0,1,0
"274","No",0,1,1,1,0,0,0,11.77389421,0,0,1,0,0,1,0,0,1,0
"275","No",0,1,1,0,1,0,0,2.585228303,0,1,0,0,1,0,0,0,0,1
"276","No",0,1,1,0,0,1,1,9.517703088,0,1,0,0,1,0,0,1,0,0
"277","No",0,1,0,0,0,1,0,9.532523799,0,0,1,0,1,0,0,0,0,1
"278","No",0,1,0,0,1,1,1,23.103996,1,0,0,0,1,0,0,0,0,1
"279","Yes",0,1,0,1,0,0,0,5.104873611,1,0,0,0,1,0,0,0,0,1
"280","Yes",1,1,1,0,1,1,1,6.877942744,1,0,0,1,0,0,0,0,0,1
"281","Yes",0,1,0,0,0,1,0,21.17839683,0,1,0,0,1,0,0,0,0,1
"282","No",0,1,0,0,0,1,0,1.586331702,1,0,0,1,0,0,0,1,0,0
"283","Yes",0,1,1,0,0,1,1,3.778174405,1,0,0,0,1,0,1,0,0,0
"284","Yes",1,1,0,0,0,1,1,11.58276897,1,0,0,1,0,0,0,0,0,1
"285","Yes",1,1,1,1,0,1,1,11.62258922,0,1,0,0,0,1,0,0,0,1
"286","No",0,1,1,0,0,0,1,20.78013031,0,1,0,0,0,1,0,0,0,1
"287","Yes",0,1,1,0,0,0,1,3.940297464,1,0,0,1,0,0,1,0,0,0
"288","No",1,1,0,0,1,0,0,11.38099891,1,0,0,0,1,0,0,1,0,0
"289","Yes",0,1,0,1,0,1,1,1.473304337,0,0,1,0,1,0,0,0,0,1
"290","No",0,1,0,0,0,1,0,12.75609778,1,0,0,1,0,0,1,0,0,0
"291","Yes",0,1,1,1,1,0,1,6.253919786,0,0,1,1,0,0,0,0,1,0
"292","No",0,1,1,1,0,0,0,18.9537053,0,1,0,0,1,0,0,0,1,0
"293","No",0,1,1,1,0,0,1,9.640061615,0,0,1,1,0,0,0,0,1,0
"294","Yes",0,1,1,0,1,0,0,5.201330266,1,0,0,0,0,1,1,0,0,0
"295","Yes",0,1,1,1,1,0,1,12.42120946,1,0,0,1,0,0,0,0,1,0
"296","No",0,1,1,0,1,0,0,8.134438503,1,0,0,0,1,0,0,0,1,0
