"","Churn","Techie","Phone","Multiple","OnlineBackup","DeviceProtection","StreamingTV","StreamingMovies","Tenure","ContractMonth-to-month","ContractOne year","ContractTwo Year","InternetServiceDSL","InternetServiceFiber Optic","InternetServiceNone","PaymentMethodBank Transfer(automatic)","PaymentMethodCredit Card (automatic)","PaymentMethodElectronic Check","PaymentMethodMailed Check"
"50","Yes",0,1,1,0,0,1,1,-1.16280077368718,1,0,0,0,1,0,1,0,0,0
"51","No",0,1,0,0,0,1,0,-0.823281728527246,1,0,0,1,0,0,1,0,0,0
"52","No",0,1,1,1,0,0,1,-0.941121186410192,0,0,1,1,0,0,0,0,1,0
"53","No",1,1,0,0,1,0,1,-0.883299886115476,0,1,0,0,0,1,0,0,1,0
"54","No",0,1,0,0,1,0,1,-0.668489304995088,1,0,0,0,1,0,0,1,0,0
"55","No",0,1,0,1,1,0,1,-1.14621575957031,0,0,1,1,0,0,1,0,0,0
"56","No",0,1,0,1,1,0,0,-0.930687537484276,0,1,0,0,0,1,0,0,1,0
"57","No",0,1,1,0,0,1,1,-1.15444864151943,0,1,0,0,0,1,0,1,0,0
"58","No",0,1,0,1,0,0,0,-0.788368228796036,1,0,0,0,1,0,0,0,0,1
"59","Yes",0,1,1,0,1,1,1,-0.885775752505003,1,0,0,0,0,1,0,0,0,1
"60","Yes",0,1,1,1,0,1,1,-0.843648095976814,1,0,0,0,1,0,0,0,0,1
"61","Yes",1,1,1,0,0,1,0,-1.21402223566337,1,0,0,0,0,1,0,1,0,0
"62","No",0,1,0,0,1,0,0,-1.01478615488637,0,0,1,1,0,0,0,0,0,1
"63","Yes",0,1,0,1,1,1,1,-1.09050056720949,1,0,0,0,1,0,1,0,0,0
"64","Yes",0,1,1,1,1,0,1,-1.12063292328982,1,0,0,1,0,0,0,1,0,0
"65","Yes",0,0,1,0,0,1,0,-1.25721526462572,1,0,0,0,0,1,0,0,1,0
"66","Yes",0,1,0,1,1,1,1,-0.771337479509786,1,0,0,0,0,1,0,0,0,1
"67","No",0,1,0,1,0,0,0,-0.750935841183577,0,0,1,1,0,0,0,0,1,0
"68","No",0,1,1,0,0,0,1,-0.3645332473069,0,0,1,0,1,0,1,0,0,0
"69","No",0,1,0,1,0,0,0,-0.940353493413183,0,1,0,1,0,0,0,0,0,1
"70","No",0,1,0,0,1,1,0,-0.791694015269142,0,0,1,0,1,0,1,0,0,0
"71","No",0,1,1,0,1,1,0,-0.610860186864414,0,0,1,0,1,0,0,0,0,1
"72","No",0,1,0,1,0,1,0,-0.461004011142502,0,0,1,0,1,0,0,0,1,0
"73","Yes",0,1,1,1,1,0,1,-1.19247012420829,1,0,0,0,0,1,0,0,1,0
"74","Yes",0,1,0,1,0,0,1,-0.690760105025178,1,0,0,0,0,1,0,0,1,0
"75","No",0,1,0,0,0,0,0,-0.967149477521892,1,0,0,1,0,0,0,0,1,0
"76","Yes",0,1,1,1,1,0,0,-0.916988992498084,1,0,0,1,0,0,0,1,0,0
"77","No",1,1,0,0,0,0,0,-1.14847892506816,0,1,0,0,1,0,1,0,0,0
"78","No",0,1,0,1,0,1,0,-1.10697259414927,0,0,1,0,1,0,0,0,1,0
"79","No",0,1,0,1,1,0,1,-1.18320216113474,0,1,0,1,0,0,1,0,0,0
"80","No",0,1,0,0,1,0,0,-1.02264111472638,0,1,0,0,1,0,0,1,0,0
"81","Yes",0,1,1,1,1,0,1,-1.21026926678865,1,0,0,0,0,1,0,0,1,0
"82","Yes",0,1,1,1,1,1,1,-1.09748787006432,0,0,1,0,0,1,0,1,0,0
"83","Yes",0,1,0,1,1,1,1,-1.1784260747271,1,0,0,0,1,0,0,0,1,0
"84","No",0,1,1,0,0,0,0,-0.953687471210803,1,0,0,1,0,0,0,0,1,0
"85","No",0,1,0,1,0,0,0,-0.660180638443103,1,0,0,0,0,1,1,0,0,0
"86","Yes",0,0,1,0,0,1,1,-0.682429822217618,0,1,0,0,1,0,0,0,1,0
"87","No",0,1,0,1,0,0,0,-1.23328384049866,0,1,0,0,1,0,0,0,1,0
"88","No",0,1,1,1,0,1,0,-0.959172596403501,0,0,1,0,1,0,1,0,0,0
"89","No",0,1,0,0,0,0,0,-0.780022300296983,0,0,1,0,0,1,1,0,0,0
"90","No",0,1,0,0,1,0,1,-0.962050248817171,0,1,0,0,1,0,0,0,0,1
"91","Yes",0,1,0,0,1,1,0,-1.1024982419663,1,0,0,1,0,0,1,0,0,0
"92","No",0,1,0,1,0,0,0,-1.04340607931077,1,0,0,1,0,0,1,0,0,0
"93","Yes",1,1,0,1,1,0,1,-1.19910317059399,1,0,0,0,1,0,0,0,0,1
"94","No",1,1,0,1,0,0,0,-1.11279173568206,0,0,1,1,0,0,0,0,0,1
"95","Yes",0,1,1,1,0,1,1,-1.20548301752644,1,0,0,1,0,0,0,0,1,0
"96","No",0,1,0,0,0,0,0,-0.812340256502763,1,0,0,0,1,0,1,0,0,0
"97","No",0,1,0,0,0,0,0,-0.973187917139819,0,1,0,1,0,0,0,1,0,0
"98","Yes",0,1,0,1,1,1,1,-1.24734534998463,0,1,0,1,0,0,0,0,1,0
"99","No",0,1,0,0,1,0,1,-0.532753789774371,0,0,1,0,0,1,0,0,1,0
"100","No",0,1,1,0,1,0,0,-1.2323322486822,0,0,1,1,0,0,0,1,0,0
"101","Yes",0,1,0,0,0,0,1,-1.23358704962811,1,0,0,1,0,0,0,0,1,0
"102","No",1,1,0,0,1,0,1,-1.04807936975872,0,1,0,0,1,0,0,0,1,0
"103","Yes",1,0,1,0,0,1,1,-1.02773902206374,1,0,0,0,1,0,0,0,1,0
"104","Yes",0,1,1,1,1,0,1,-1.00109694047597,1,0,0,1,0,0,1,0,0,0
"105","No",0,1,0,0,1,1,1,-0.739885459308508,1,0,0,0,0,1,0,0,1,0
"106","Yes",0,1,1,1,0,0,1,-0.444590131022607,1,0,0,1,0,0,0,0,0,1
"107","Yes",0,1,1,1,0,0,0,-1.21038222352297,1,0,0,1,0,0,0,0,1,0
"108","No",0,1,0,1,0,0,0,-0.874492565523872,1,0,0,1,0,0,0,1,0,0
"109","No",1,1,0,0,1,0,1,-1.01811560231968,0,0,1,0,1,0,0,1,0,0
"110","No",0,1,1,1,0,0,1,-1.07827627066973,0,0,1,0,1,0,1,0,0,0
"111","Yes",1,1,0,1,1,0,1,-1.12029697695393,1,0,0,1,0,0,0,0,1,0
"112","No",0,1,1,1,0,0,0,-1.10887597874226,0,0,1,1,0,0,0,1,0,0
"113","No",0,1,0,0,0,0,1,-1.25320629571443,0,1,0,1,0,0,1,0,0,0
"114","No",0,1,0,0,0,1,0,-0.548622682341121,1,0,0,0,1,0,0,0,1,0
"115","No",0,1,1,1,1,0,1,-1.08314348543998,0,0,1,0,1,0,1,0,0,0
"116","No",0,1,1,0,0,0,0,-1.26466183001644,1,0,0,0,1,0,1,0,0,0
"117","No",0,1,0,0,0,0,1,-1.18704173533321,1,0,0,0,0,1,0,1,0,0
"118","Yes",0,1,1,1,0,0,0,-0.857169958592076,1,0,0,0,0,1,0,0,1,0
"119","No",1,1,1,0,1,0,0,-1.11715549186332,0,0,1,1,0,0,1,0,0,0
"120","Yes",0,1,1,0,1,0,0,-0.874097202469805,1,0,0,1,0,0,0,0,1,0
"121","No",0,1,0,0,1,1,0,-1.01307610319402,1,0,0,1,0,0,0,1,0,0
"122","Yes",1,1,0,0,1,1,0,-1.06378937970817,1,0,0,0,1,0,0,0,1,0
"123","Yes",0,1,1,0,1,1,1,-1.16216122291967,1,0,0,1,0,0,0,0,0,1
"124","Yes",0,1,1,0,0,1,1,-0.874966443689033,0,1,0,0,1,0,0,0,1,0
"125","No",0,1,1,0,1,0,0,-1.07946695037432,0,1,0,1,0,0,0,0,0,1
"126","Yes",0,1,1,1,1,0,0,-1.03679544613826,1,0,0,0,0,1,1,0,0,0
"127","No",0,1,0,0,1,0,1,-0.724282447441681,1,0,0,0,0,1,0,0,0,1
"128","Yes",0,0,0,1,1,0,1,-1.11122773976449,1,0,0,0,1,0,0,0,1,0
"129","Yes",0,1,1,0,0,1,1,-1.16311032054697,1,0,0,0,1,0,1,0,0,0
"130","Yes",0,1,0,0,1,0,1,-0.960525212342942,0,1,0,1,0,0,0,0,1,0
"131","Yes",0,1,0,1,1,1,1,-0.383157517759391,0,0,1,0,1,0,0,0,0,1
"132","No",0,1,0,0,1,1,1,-1.26626963757626,0,1,0,0,1,0,0,0,0,1
"133","Yes",0,1,0,0,1,1,1,-1.01265947365476,0,0,1,0,0,1,0,0,1,0
"134","No",0,1,0,0,0,0,0,-0.85936631386356,0,0,1,0,1,0,0,0,1,0
"135","Yes",0,1,1,0,1,1,1,-1.10675728020929,1,0,0,1,0,0,0,0,0,1
"136","No",0,1,1,1,1,1,0,-1.23472008684169,0,0,1,1,0,0,0,1,0,0
"137","No",0,1,0,0,0,0,0,-1.05096887212353,0,1,0,1,0,0,0,0,0,1
"138","No",0,1,0,1,0,1,0,-0.675052108344795,1,0,0,0,0,1,0,0,1,0
"139","No",0,1,0,0,1,1,0,-0.916813990454452,0,1,0,0,0,1,0,0,0,1
"140","Yes",0,1,1,0,1,0,1,-1.03040801793571,1,0,0,0,0,1,1,0,0,0
"141","Yes",0,1,0,1,1,0,0,-1.17234263075334,1,0,0,0,1,0,0,1,0,0
"142","Yes",1,1,1,0,0,1,0,-0.932958132530006,1,0,0,0,1,0,0,0,1,0
"143","No",0,1,0,0,1,0,0,-1.09744141213253,1,0,0,0,0,1,0,0,0,1
"144","No",1,1,0,0,0,0,0,-0.567931543313771,0,1,0,0,1,0,0,1,0,0
"145","No",0,1,0,0,1,1,1,-0.897103634384624,0,1,0,1,0,0,0,0,0,1
"146","No",0,1,0,1,0,0,1,-0.943156252913435,0,0,1,1,0,0,0,0,1,0
"147","No",0,1,0,0,0,0,1,-0.434804702094514,1,0,0,0,0,1,1,0,0,0
"148","No",0,1,0,0,0,0,0,-0.857552272476884,1,0,0,0,1,0,0,0,1,0
"149","No",0,1,0,0,0,0,1,-1.1553080250681,0,1,0,0,1,0,0,0,1,0
"150","Yes",0,1,1,1,0,1,0,-0.947459748601334,1,0,0,0,1,0,0,0,1,0
"151","No",1,1,0,0,1,1,0,-1.19584254317694,0,1,0,1,0,0,1,0,0,0
"152","No",0,1,0,0,0,0,1,-0.914249252362243,0,1,0,1,0,0,0,0,1,0
"153","Yes",0,1,1,0,0,0,1,-0.934315994684757,1,0,0,1,0,0,1,0,0,0
"154","Yes",0,1,0,0,1,1,1,-0.177655166304026,1,0,0,0,1,0,0,0,1,0
"155","No",0,1,0,0,1,0,1,-1.04079323188956,1,0,0,0,1,0,0,0,0,1
"156","Yes",1,1,0,0,1,0,1,-1.07683290041662,1,0,0,1,0,0,1,0,0,0
"157","No",0,0,0,1,0,1,0,-1.05973635281403,0,1,0,1,0,0,0,0,0,1
"158","Yes",1,1,0,0,0,0,1,-1.2432721967531,1,0,0,0,1,0,0,0,0,1
"159","No",0,1,0,1,0,1,0,-0.884143617430293,0,1,0,0,0,1,1,0,0,0
"160","Yes",0,1,0,0,1,1,1,-0.504427908975283,0,1,0,0,1,0,0,0,0,1
"161","Yes",1,1,1,1,0,1,1,-1.18478126048436,0,1,0,0,1,0,0,1,0,0
"162","Yes",0,1,1,1,0,0,1,-1.05657151762934,1,0,0,0,1,0,0,0,1,0
"163","Yes",0,1,0,0,1,1,1,-1.21948540515419,1,0,0,1,0,0,0,0,0,1
"164","Yes",0,1,1,0,1,0,1,-0.963678554494302,0,1,0,1,0,0,1,0,0,0
"165","No",0,1,0,1,0,0,0,-0.986271083104749,0,1,0,0,0,1,1,0,0,0
"166","No",0,1,0,1,1,0,0,-0.724390718939584,0,0,1,1,0,0,0,1,0,0
"167","Yes",0,0,0,1,1,0,0,-0.815491964047701,1,0,0,1,0,0,0,1,0,0
"168","Yes",0,1,1,0,0,1,0,-0.954377739477224,1,0,0,0,0,1,0,1,0,0
"169","No",0,1,0,1,0,1,0,-0.213912095519863,0,1,0,1,0,0,0,0,1,0
"170","Yes",0,1,1,0,0,1,1,-1.13126414883812,0,0,1,1,0,0,0,0,1,0
"171","Yes",0,1,0,0,0,1,1,-1.08683430614287,1,0,0,0,1,0,1,0,0,0
"172","No",0,1,0,1,1,0,1,-0.851550665090293,1,0,0,1,0,0,0,1,0,0
"173","Yes",0,1,1,0,0,1,1,-1.25120799605676,1,0,0,0,0,1,1,0,0,0
"174","Yes",0,1,1,0,0,1,0,-1.02043545417875,1,0,0,0,1,0,0,1,0,0
"175","No",0,1,0,1,0,0,1,-1.13144427301915,0,1,0,0,1,0,0,0,1,0
"176","No",0,1,0,1,0,1,0,-1.14601194724813,0,1,0,0,0,1,0,0,1,0
"177","Yes",0,1,0,0,1,0,1,-1.2648827197856,1,0,0,1,0,0,0,0,1,0
"178","Yes",0,0,0,1,0,1,1,-0.321848602724548,1,0,0,0,1,0,0,0,1,0
"179","Yes",0,1,0,0,1,1,0,-1.12474133045592,1,0,0,0,0,1,0,0,1,0
"180","No",0,1,0,1,0,0,1,-1.21929828946077,0,0,1,0,1,0,0,0,1,0
"181","Yes",0,1,1,0,0,1,1,-1.23376992795305,0,1,0,1,0,0,0,1,0,0
"182","Yes",1,1,0,1,1,0,0,-1.09284369228046,1,0,0,0,0,1,0,1,0,0
"183","Yes",0,1,0,1,0,1,0,-1.22677760389468,0,0,1,1,0,0,0,1,0,0
"184","No",0,1,0,0,0,0,0,-0.819896997293396,1,0,0,0,0,1,0,0,0,1
"185","Yes",0,1,0,0,0,1,0,-1.20342218452975,1,0,0,0,0,1,0,0,0,1
"186","No",0,1,1,1,1,1,0,-0.942808021956639,1,0,0,0,1,0,0,0,0,1
"187","No",0,0,0,0,0,1,0,-1.06093175640412,0,0,1,0,1,0,0,1,0,0
"188","No",1,0,1,0,0,0,0,-1.12759828950258,0,0,1,0,1,0,0,0,0,1
"189","No",0,1,0,0,1,1,0,-1.24473637061007,0,1,0,0,0,1,0,0,1,0
"190","No",0,1,0,0,0,1,0,-0.707921179608778,0,0,1,0,0,1,0,0,1,0
"191","No",0,1,1,1,0,0,0,-0.867638376486054,1,0,0,0,0,1,1,0,0,0
"192","Yes",0,1,0,1,0,1,0,-1.16654160107873,1,0,0,0,0,1,1,0,0,0
"193","No",1,1,0,0,1,1,0,-0.914527524970192,1,0,0,0,1,0,0,1,0,0
"194","No",0,1,1,1,1,0,1,-1.04175445016281,0,0,1,0,1,0,0,0,1,0
"195","Yes",0,1,1,1,0,0,1,-1.0819837075644,0,1,0,1,0,0,0,1,0,0
"196","Yes",0,1,0,1,0,1,0,-0.784015005358426,1,0,0,1,0,0,0,1,0,0
"197","Yes",0,1,0,1,0,0,1,-1.24518820344682,1,0,0,0,1,0,0,0,0,1
"198","Yes",0,1,0,0,0,1,1,-1.25056817606929,1,0,0,1,0,0,0,0,0,1
"199","Yes",0,1,0,1,1,1,1,-0.649839578338472,1,0,0,0,1,0,0,0,1,0
"200","No",0,1,0,0,1,1,0,-0.675339419618323,1,0,0,0,0,1,0,1,0,0
"201","No",0,1,0,1,0,0,0,-1.00256113959476,1,0,0,0,0,1,0,0,0,1
"202","No",1,1,0,1,0,1,0,-0.971343593443895,0,1,0,0,1,0,0,1,0,0
"203","No",1,1,0,0,0,0,1,-1.00757912332305,0,1,0,1,0,0,0,0,0,1
"204","Yes",0,1,1,1,0,1,1,-1.05148048782363,0,1,0,0,1,0,0,0,1,0
"205","No",0,1,0,0,1,0,0,-0.946975004334768,0,0,1,1,0,0,0,0,0,1
"206","Yes",1,1,0,0,1,1,0,-1.01981386903067,1,0,0,1,0,0,0,0,1,0
"207","Yes",0,1,0,0,1,1,1,-0.860765346589785,0,0,1,0,0,1,0,0,0,1
"208","No",0,1,0,0,0,1,0,-1.11838120385645,0,0,1,0,1,0,0,0,0,1
"209","Yes",0,1,0,1,0,1,1,-0.67693562768967,1,0,0,0,1,0,1,0,0,0
"210","No",0,1,1,0,0,0,1,-0.469345836864145,0,0,1,1,0,0,0,0,1,0
"211","No",0,1,0,0,0,0,0,-1.05892972336649,1,0,0,0,1,0,0,1,0,0
"212","No",0,1,0,0,0,1,0,-0.373630800921342,0,0,1,0,1,0,0,0,1,0
"213","No",1,1,1,0,1,0,0,-0.876628552977059,1,0,0,1,0,0,0,0,0,1
"214","No",0,1,1,0,1,0,0,-0.971114330627972,0,0,1,0,1,0,1,0,0,0
"215","Yes",1,1,0,0,0,1,0,-0.835478328615573,1,0,0,0,1,0,0,1,0,0
"216","No",0,1,1,1,0,0,0,-0.370873298470804,0,0,1,0,1,0,0,0,1,0
"217","No",0,0,0,1,1,0,0,-1.20712037408408,0,0,1,1,0,0,1,0,0,0
"218","Yes",0,1,1,0,0,1,1,-1.16786607474091,1,0,0,0,1,0,0,0,1,0
"219","Yes",0,0,0,1,1,0,1,-0.754021308670601,1,0,0,0,1,0,0,0,0,1
"220","No",0,1,1,0,0,0,1,-0.976652017735283,0,0,1,0,1,0,1,0,0,0
"221","No",0,1,0,1,0,1,1,-0.758848834581257,0,1,0,0,1,0,0,0,1,0
"222","Yes",0,1,1,0,0,0,0,-1.14733891188502,1,0,0,0,1,0,0,0,0,1
"223","No",0,1,1,0,1,1,0,-0.746727418295498,0,0,1,1,0,0,0,1,0,0
"224","No",0,1,0,0,0,0,1,-0.920158818594822,0,0,1,1,0,0,0,1,0,0
"225","No",0,1,0,0,1,0,0,-1.19709059891324,0,1,0,0,0,1,0,0,0,1
"226","No",1,1,1,0,1,1,0,-0.966837896820537,0,1,0,0,1,0,0,0,0,1
"227","Yes",0,1,0,0,0,0,1,-1.0825205348298,1,0,0,1,0,0,0,0,1,0
"228","No",0,0,1,0,0,1,1,-0.641477256125647,0,1,0,0,1,0,0,0,0,1
"229","No",0,1,0,0,1,0,0,-1.25682553703839,0,1,0,1,0,0,0,1,0,0
"230","Yes",0,0,1,1,0,0,1,-1.25060876282035,1,0,0,1,0,0,0,0,1,0
"231","No",0,1,1,0,0,1,0,-1.23590770003311,0,1,0,0,0,1,1,0,0,0
"232","Yes",0,1,1,1,1,1,0,-0.754188468959935,1,0,0,1,0,0,1,0,0,0
"233","Yes",0,1,1,1,0,1,1,-1.14859593761105,1,0,0,1,0,0,0,0,0,1
"234","Yes",0,1,1,1,0,0,0,-1.18949225643617,1,0,0,0,1,0,0,0,1,0
"235","No",0,1,0,0,0,0,0,-0.760399292278793,1,0,0,1,0,0,1,0,0,0
"236","Yes",0,1,1,1,1,1,0,-1.26526149682593,1,0,0,0,0,1,0,0,0,1
"237","Yes",0,1,1,1,0,1,1,-1.09090506464422,0,0,1,0,1,0,0,1,0,0
"238","No",1,1,0,0,0,0,0,-0.95341958798187,1,0,0,1,0,0,0,0,0,1
"239","No",0,1,0,1,0,1,0,-0.636101811080088,0,1,0,0,1,0,0,0,1,0
"240","No",0,1,0,0,0,0,1,-1.08356694493697,0,0,1,1,0,0,0,0,0,1
"241","Yes",0,1,1,0,1,1,1,-1.09989938127594,1,0,0,1,0,0,1,0,0,0
"242","No",0,1,1,0,0,0,0,-0.80873709444337,1,0,0,1,0,0,1,0,0,0
"243","Yes",1,1,1,1,1,1,1,-0.950686437929881,0,1,0,0,1,0,0,0,1,0
"244","No",0,1,0,1,0,1,0,-0.83641177117274,0,0,1,1,0,0,0,1,0,0
"245","No",1,1,0,0,0,0,1,-1.01817679088254,0,1,0,0,1,0,1,0,0,0
"246","Yes",0,1,1,0,0,0,1,-0.848229061566853,1,0,0,0,0,1,0,0,1,0
"247","Yes",0,1,0,0,0,1,1,-0.707287506413093,0,0,1,1,0,0,0,0,0,1
"248","Yes",0,1,1,1,1,0,0,-0.823607372728174,1,0,0,1,0,0,0,0,1,0
"249","Yes",0,1,1,1,0,0,1,-0.594110975692882,1,0,0,1,0,0,0,0,1,0
"250","No",0,1,0,0,1,1,0,-1.01713802069979,1,0,0,0,1,0,0,0,0,1
"251","No",0,1,1,1,1,0,1,-0.853331512515578,1,0,0,0,1,0,0,0,0,1
"252","Yes",0,1,0,1,1,1,0,-0.716982890173825,1,0,0,1,0,0,0,1,0,0
"253","No",0,0,0,0,1,0,0,-0.943915556451058,0,0,1,1,0,0,1,0,0,0
"254","No",1,1,0,1,0,0,0,-0.809081551518093,0,1,0,1,0,0,0,0,0,1
"255","Yes",1,1,1,1,0,1,1,-1.21342479435253,1,0,0,1,0,0,0,0,0,1
"256","No",0,1,0,0,0,0,0,-1.11001346407903,0,1,0,1,0,0,1,0,0,0
"257","Yes",0,1,0,1,1,1,0,-0.996804469229679,1,0,0,0,0,1,0,0,1,0
"258","Yes",0,0,1,1,1,0,1,-1.02064365562944,1,0,0,0,1,0,0,0,0,1
"259","No",0,1,0,0,0,1,0,-0.588962479018778,1,0,0,0,0,1,0,1,0,0
"260","Yes",0,0,0,0,1,1,1,-0.928150255326736,0,0,1,1,0,0,0,1,0,0
"261","No",0,1,0,0,1,1,1,-1.20338699189669,0,1,0,0,0,1,1,0,0,0
"262","No",0,1,0,1,1,1,0,-1.14422938262388,1,0,0,0,1,0,0,0,1,0
"263","No",0,1,0,1,0,0,0,-1.13937189792928,1,0,0,0,1,0,0,0,1,0
"264","No",0,1,0,1,0,1,0,-0.665899393948849,1,0,0,0,0,1,0,0,1,0
"265","No",1,1,0,1,1,0,1,-0.812885975816834,1,0,0,0,0,1,0,0,0,1
"266","Yes",0,1,0,0,1,1,0,-1.25441953471968,1,0,0,0,0,1,0,0,1,0
"267","No",1,0,0,0,0,0,0,-0.956886929994608,0,1,0,1,0,0,1,0,0,0
"268","No",0,1,0,0,1,0,0,-0.981517471968163,1,0,0,1,0,0,0,0,1,0
"269","Yes",0,1,1,0,0,1,1,-1.19850300569545,0,0,1,0,1,0,0,0,0,1
"270","No",1,1,0,0,1,0,0,-1.14502729125858,1,0,0,0,1,0,0,1,0,0
"271","No",0,1,0,0,1,0,1,-0.570792993632926,0,1,0,0,1,0,0,1,0,0
"272","Yes",1,1,1,1,0,1,1,-1.19688430200745,0,1,0,0,1,0,0,1,0,0
"273","No",0,1,1,0,1,0,1,-0.728342708218021,1,0,0,0,1,0,0,1,0,0
"274","No",1,1,0,0,0,1,0,-1.22833307481635,0,0,1,0,1,0,0,0,1,0
"275","Yes",0,1,0,0,1,1,1,-1.01535699284911,1,0,0,0,1,0,0,0,0,1
"276","No",0,1,0,0,0,1,0,-0.129206732476203,1,0,0,1,0,0,0,0,1,0
"277","No",0,1,1,1,0,1,0,-1.08585499923115,0,1,0,0,0,1,0,0,1,0
"278","No",0,1,0,0,0,0,0,-0.924222554762847,1,0,0,0,1,0,0,0,1,0
"279","Yes",0,1,1,0,0,1,1,-0.452431676191068,1,0,0,1,0,0,0,0,0,1
